Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2019-05-08,"['MRVL', 'COST', 'NXPI', 'EBAY', 'SWKS', 'WBA', 'NTES', 'INTC', 'NVDA', 'CMCSA', 'ADSK', 'CERN', 'CHTR', 'MNST', 'PCAR', 'TXN']",7.98,13.49,0
2019-05-09,"['HON', 'XEL', 'CTAS', 'CERN', 'INTC', 'NVDA', 'NTES', 'ADSK', 'WBA', 'CHTR', 'AVGO', 'CMCSA', 'SWKS', 'MNST', 'PCAR', 'TXN']",9.9,13.34,0
2019-05-10,"['SIRI', 'WBA', 'XEL', 'AVGO', 'HON', 'SWKS', 'CHTR', 'NXPI', 'CTAS', 'NVDA', 'INTC', 'ADSK', 'MNST', 'NTES', 'PCAR', 'TXN']",5.85,11.71,0
2019-05-11,"['SIRI', 'AVGO', 'NXPI', 'PAYX', 'CTAS', 'INTC', 'CMCSA', 'NVDA', 'ADSK', 'PCAR', 'SWKS', 'CHTR', 'MNST', 'NTES', 'TXN', 'HON']",9.36,10.8,0
2019-05-12,"['WBA', 'INTC', 'AVGO', 'MRVL', 'PAYX', 'NXPI', 'NVDA', 'CMCSA', 'ADSK', 'MNST', 'NTES', 'SWKS', 'PCAR', 'HON', 'CHTR', 'TXN']",9.07,10.89,0
2019-05-15,"['NXPI', 'PAYX', 'INTC', 'AVGO', 'CHTR', 'SIRI', 'CMCSA', 'NVDA', 'ADSK', 'MNST', 'NTES', 'EBAY', 'HON', 'TXN', 'SWKS', 'PCAR']",5.98,8.35,0
2019-05-16,"['MRVL', 'CDW', 'WBA', 'INTC', 'CMCSA', 'AVGO', 'HON', 'NVDA', 'MNST', 'CHTR', 'ADSK', 'CERN', 'NTES', 'PCAR', 'SWKS', 'TXN']",9.24,10.87,0
2019-05-17,"['AMGN', 'SIRI', 'CDW', 'INTC', 'AVGO', 'NXPI', 'CHTR', 'NVDA', 'MNST', 'CMCSA', 'HON', 'ADSK', 'TXN', 'SWKS', 'NTES', 'PCAR']",7.53,11.21,0
2019-05-18,"['GOOG', 'INTC', 'NXPI', 'COST', 'AVGO', 'NVDA', 'MNST', 'HON', 'ADSK', 'CHTR', 'CMCSA', 'SWKS', 'TXN', 'EBAY', 'PCAR', 'NTES']",7.31,10.57,0
2019-05-19,"['ASML', 'XEL', 'BIIB', 'CDW', 'GOOG', 'NXPI', 'HON', 'NVDA', 'ADSK', 'EBAY', 'MNST', 'CMCSA', 'SWKS', 'PCAR', 'TXN', 'NTES']",5.78,11.09,0
2019-05-22,"['AVGO', 'BIDU', 'CDW', 'WBA', 'GOOG', 'NXPI', 'EBAY', 'HON', 'NVDA', 'ADSK', 'CMCSA', 'PCAR', 'MNST', 'SWKS', 'TXN', 'NTES']",1.46,9.88,0
2019-05-23,"['CHTR', 'HON', 'BIDU', 'CDW', 'WBA', 'AVGO', 'PCAR', 'SIRI', 'NVDA', 'ADSK', 'NXPI', 'CMCSA', 'MNST', 'TXN', 'SWKS', 'NTES']",2.26,9.57,0
2019-05-24,"['BIDU', 'AMGN', 'AVGO', 'CMCSA', 'SIRI', 'HON', 'WBA', 'CHTR', 'NXPI', 'NVDA', 'TXN', 'ADSK', 'PCAR', 'MNST', 'SWKS', 'NTES']",-1.99,7.2,0
2019-05-25,"['CDW', 'XEL', 'INTC', 'BIDU', 'AVGO', 'SIRI', 'HON', 'CHTR', 'CMCSA', 'TXN', 'NVDA', 'ADSK', 'MNST', 'PCAR', 'SWKS', 'NTES']",3.31,7.17,0
2019-05-26,"['WBA', 'SPLK', 'CDW', 'HON', 'XEL', 'CHTR', 'CMCSA', 'NXPI', 'SIRI', 'NVDA', 'ADSK', 'MNST', 'PCAR', 'SWKS', 'NTES', 'TXN']",4.79,7.07,0
2019-05-30,"['CERN', 'INTC', 'SPLK', 'CDW', 'SIRI', 'XEL', 'CHTR', 'CMCSA', 'PCAR', 'NVDA', 'ADSK', 'HON', 'MNST', 'SWKS', 'NTES', 'TXN']",6.76,6.32,1
2019-05-31,"['SIRI', 'DLTR', 'CDW', 'GOOG', 'HON', 'XEL', 'AMGN', 'NVDA', 'CMCSA', 'ADSK', 'NTES', 'TXN', 'MNST', 'SWKS', 'PCAR', 'CHTR']",6.74,6.02,1
2019-06-01,"['EBAY', 'CDW', 'NTES', 'XEL', 'SIRI', 'AMGN', 'CHTR', 'NVDA', 'CMCSA', 'ADSK', 'NXPI', 'HON', 'TXN', 'PCAR', 'SWKS', 'MNST']",1.73,4.49,0
2019-06-02,"['EXC', 'MNST', 'CDW', 'INTC', 'NXPI', 'EBAY', 'ADSK', 'CMCSA', 'WBA', 'SIRI', 'NVDA', 'HON', 'CHTR', 'TXN', 'SWKS', 'PCAR']",-1.99,2.92,0
2019-06-05,"['AMGN', 'PCAR', 'MNST', 'ADSK', 'CERN', 'LRCX', 'CMCSA', 'KLAC', 'WBA', 'NVDA', 'FB', 'XEL', 'SIRI', 'SWKS', 'HON', 'CHTR']",1.19,2.63,0
2019-06-06,"['CMCSA', 'AEP', 'WBA', 'PCAR', 'MNST', 'ADSK', 'AMGN', 'LRCX', 'CERN', 'FB', 'XEL', 'SIRI', 'NVDA', 'SWKS', 'HON', 'CHTR']",5.14,3.07,1
2019-06-07,"['CTAS', 'CTSH', 'CERN', 'AEP', 'MNST', 'AMGN', 'CMCSA', 'SIRI', 'ADSK', 'LRCX', 'WBA', 'FB', 'JD', 'SWKS', 'HON', 'CHTR']",3.15,3.28,0
2019-06-08,"['FB', 'MNST', 'AEP', 'CERN', 'COST', 'AMGN', 'JD', 'SIRI', 'WBA', 'ADSK', 'KLAC', 'HON', 'ATVI', 'CMCSA', 'SWKS', 'CHTR']",3.08,6.02,0
2019-06-09,"['GOOG', 'WDAY', 'DLTR', 'AMGN', 'LRCX', 'AEP', 'ADSK', 'KLAC', 'ATVI', 'JD', 'CERN', 'FB', 'WBA', 'SIRI', 'CMCSA', 'CHTR']",5.27,6.01,0
2019-06-12,"['NVDA', 'SWKS', 'AMGN', 'NXPI', 'ATVI', 'AEP', 'WBA', 'ADSK', 'CTAS', 'FB', 'JD', 'CERN', 'MELI', 'SIRI', 'CMCSA', 'CHTR']",3.86,7.05,0
2019-06-13,"['NVDA', 'SWKS', 'SIRI', 'NXPI', 'AEP', 'GOOG', 'FB', 'KLAC', 'ADSK', 'LRCX', 'AMGN', 'WBA', 'CERN', 'HON', 'CHTR', 'CMCSA']",-0.81,5.94,0
2019-06-14,"['SWKS', 'FB', 'MNST', 'CTSH', 'LRCX', 'JD', 'NXPI', 'AEP', 'WBA', 'PCAR', 'SIRI', 'CERN', 'AMGN', 'CMCSA', 'ADSK', 'CHTR']",-1.24,6.54,0
2019-06-15,"['CTAS', 'GOOG', 'FB', 'XEL', 'CTSH', 'SWKS', 'AMGN', 'CDNS', 'AEP', 'CHTR', 'WBA', 'SIRI', 'CERN', 'ADSK', 'HON', 'CMCSA']",9.09,5.1,1
2019-06-16,"['JD', 'MELI', 'LULU', 'NVDA', 'DLTR', 'GOOG', 'CTAS', 'CDNS', 'AEP', 'SIRI', 'AMGN', 'FB', 'ADSK', 'HON', 'WBA', 'CMCSA']",12.65,5.45,1
2019-06-19,"['LRCX', 'LULU', 'NVDA', 'SWKS', 'CTAS', 'MELI', 'AEP', 'CERN', 'PCAR', 'CHTR', 'FB', 'ADSK', 'AMGN', 'HON', 'WBA', 'CMCSA']",15.84,7.78,1
2019-06-20,"['NVDA', 'MNST', 'SWKS', 'CTAS', 'AMGN', 'CERN', 'AEP', 'MELI', 'NXPI', 'CHTR', 'ADSK', 'SIRI', 'FB', 'HON', 'PCAR', 'CMCSA']",14.58,8.44,1
2019-06-21,"['MNST', 'SWKS', 'NVDA', 'CTAS', 'CERN', 'AMGN', 'SBUX', 'AEP', 'SIRI', 'ADSK', 'NXPI', 'HON', 'FB', 'CHTR', 'CMCSA', 'PCAR']",11.43,8.66,1
